Japanese,English Meaning
no,possessive particle
ni,in
suru,to do
wa,topic marker
o,direct object marker
ga,subject marker
to,and
de,at
da,to be
desu,to be
aru,to exist
iru,to exist
naru,to become
koto,thing
mono,thing
kore,this
sore,that
are,that
kono,this
sono,that
ano,that
watashi,I
anata,you
kare,he
kanojo,she
minna,everyone
nan/nani,what
doko,where
itsu,when
dou,how
dare,who
ikiru,to live
shinu,to die
taberu,to eat
nomu,to drink
miru,to see
kiku,to listen
iu,to say
kaku,to write
yomu,to read
kaeru,to return
iku,to go
kuru,to come
okiru,to wake up
neru,to sleep
hataraku,to work
yasumu,to rest
asobu,to play
kau,to buy
uru,to sell
tsukau,to use
omou,to think
shinjiru,to believe
wakaru,to understand
dekiru,to be able
hajimeru,to start
owaru,to end
aru,to have
motsu,to hold
tsukuru,to make
ageru,to give
morau,to receive
kureru,to give
hanasu,to speak
benkyou,study
gakusei,student
sensei,teacher
gakkou,school
tomodachi,friend
kazoku,family
haha,mother
chichi,father
ane,older sister
ani,older brother
imouto,younger sister
otouto,younger brother
inu,dog
neko,cat
kuruma,car
jitensha,bicycle
denwa,phone
uchi / ie,home
heya,room
mizu,water
ocha,tea
gohan,rice
pan,bread
sakana,fish
niku,meat
yasai,vegetables
kudamono,fruit
tenki,weather
ame,rain
yuki,snow
hare,clear
kumori,cloudy
atsui,hot
samui,cold
suki,like
kirai,dislike
tanoshii,fun
muzukashii,difficult
yasashii,easy
